Filesnames,zcr,spectral_c,rolloff,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,Labels
Dataset_final/Dataset/Training\Autre100263-2-0-117.wav,12323,2111.629330963299,3967.399323744581,-420.23825,103.904526,-47.55043,55.606483,5.350782,12.434221,6.779348,6.2920456,2.7299483,8.500508,-7.737784,17.959957,-6.74278,11.154058,1.7554699,5.540475,-1.8327672,10.480143,-5.7628045,6.669657,-1
Dataset_final/Dataset/Training\Autre100263-2-0-121.wav,9059,1818.6126808442198,3664.378612716763,-455.2568,116.408104,-41.6107,47.207104,4.6504264,19.322447,12.985572,5.075196,3.0532618,7.610181,-8.801887,11.849342,-1.5549251,10.021297,0.55973506,6.0552983,-6.6393495,3.7478461,-2.9241667,12.0537615,-1
Dataset_final/Dataset/Training\Autre100263-2-0-126.wav,11541,2244.620136023732,4423.641844291908,-409.9394,96.08554,-29.91929,47.63835,6.7635546,9.838276,7.694974,3.0811527,2.03853,5.989011,-9.093197,18.593916,-3.8568292,11.185817,-3.6258535,3.4808068,-0.5279697,7.9549384,-1.3390174,6.8800635,-1
Dataset_final/Dataset/Training\Autre100263-2-0-137.wav,10477,1981.2277317082442,3907.59178558526,-442.84656,108.39454,-47.17804,55.187874,7.742001,20.30229,7.3473206,5.8606224,7.0278845,6.742701,-11.407565,14.406661,-1.8394034,8.542976,2.8056471,9.005601,-5.710881,5.383008,-7.941531,12.40935,-1
Dataset_final/Dataset/Training\Autre100263-2-0-143.wav,6499,1767.1694850897227,3765.1365776282514,-443.65067,112.543655,-29.388401,51.108513,6.9985704,21.019321,9.774244,7.921374,2.1321502,7.05143,-5.272412,11.6705885,0.060888257,9.338826,0.21014766,3.348249,-5.759408,5.6658683,-4.361087,8.804883,-1
Dataset_final/Dataset/Training\Autre100263-2-0-161.wav,6523,1733.6373727561383,3801.6061066203033,-472.69562,113.9086,-23.071823,50.6363,7.2632127,21.811836,5.53953,7.459285,2.5576074,7.2800355,-5.1650505,16.108461,-1.2632779,10.206795,-2.3801692,4.9120812,-6.1152034,5.3116097,-5.9706206,7.4662924,-1
Dataset_final/Dataset/Training\Autre100263-2-0-3.wav,6410,1783.68830445457,3948.728916410766,-460.31586,111.005455,-23.589113,44.31447,0.41180128,26.424335,11.725563,11.897228,2.2585723,9.884462,-6.0582895,13.209441,-2.3300934,6.7617764,-1.4392121,4.1226454,-3.3861737,9.54677,-3.1971767,6.89986,-1
Dataset_final/Dataset/Training\Autre100263-2-0-36.wav,5940,1635.9245499139104,3599.156656430636,-468.48215,121.265015,-33.002296,53.595703,2.1047845,24.67434,10.627421,10.230616,5.302392,5.9570813,-5.051804,15.718761,-1.996848,10.655462,-0.65664697,4.48199,-3.7812948,5.523774,-5.352058,5.12142,-1
Dataset_final/Dataset/Training\Autre100652-3-0-0.wav,13236,2108.9770113984746,3384.7581455473264,-273.64655,98.29991,-87.649704,-7.7524753,2.7702844,-15.4869585,-14.83412,1.169153,-7.8723097,13.9923115,9.93982,11.731616,1.7163534,2.156357,-6.5762234,3.5346446,2.3336697,2.9246929,-2.7393196,9.632778,-1
Dataset_final/Dataset/Training\Autre100652-3-0-1.wav,13661,2071.3898104642803,3141.856146134393,-292.54764,101.614815,-95.6351,-11.165993,6.254183,-17.639967,-17.064598,-0.3100255,-9.330489,11.497116,10.346222,12.782068,2.124494,-3.203173,-7.743585,0.17646591,1.4851732,0.01637859,-4.2258716,9.250407,-1
Dataset_final/Dataset/Training\Autre100652-3-0-2.wav,13650,2070.8215603151,3204.2153066293354,-300.6944,103.27692,-90.80243,-12.029709,8.606752,-20.404907,-16.777626,-1.7872567,-5.9332466,13.557953,8.829062,9.644407,1.3872546,-1.8706496,-4.336839,0.35988656,-1.0709265,1.1289837,-1.5794343,5.739603,-1
Dataset_final/Dataset/Training\Autre100652-3-0-3.wav,13228,1996.1043742201566,3034.376834582731,-299.05872,104.005936,-94.97089,-12.741884,9.941523,-25.174662,-17.025263,-4.217645,-4.2944984,14.024703,13.296681,11.2687,0.36345237,-4.034298,-7.543426,0.30400968,2.1871614,-0.2651062,-1.6054938,6.6309214,-1
Dataset_final/Dataset/Training\Autre100795-3-0-0.wav,12715,2122.2158271954063,3418.8627562770953,-324.11343,81.78443,-77.27891,-31.278269,12.831307,7.2486277,-0.83144337,7.4968996,-4.0374584,-3.943599,1.9460471,6.1974645,8.141486,6.5740933,4.3209906,0.6005729,-7.114099,-0.009187819,4.3240266,0.03992698,-1
Dataset_final/Dataset/Training\Autre100795-3-1-0.wav,11261,1945.3103160431076,3335.032627348266,-336.57156,111.48618,-70.12295,-43.06536,0.52789253,0.84014255,-12.12267,3.7075605,2.0089679,15.653183,6.7532544,-5.3599706,-0.2854266,5.5395017,2.5407965,8.46502,1.630213,-1.1824032,-7.296295,0.4826408,-1
Dataset_final/Dataset/Training\Autre100795-3-1-1.wav,11457,2029.1053358786787,3522.3590475975434,-348.4271,104.87805,-70.847084,-38.923523,2.5845795,3.0360518,-11.273415,6.4234896,2.8514204,14.902809,3.4897087,-9.485798,-2.1336462,9.586235,5.9040585,7.4412847,-0.85953,-3.0166154,-10.595097,0.31261414,-1
Dataset_final/Dataset/Training\Autre100795-3-1-2.wav,11578,1981.6385381944233,3368.0170136380057,-338.4017,110.37444,-73.79015,-42.328438,4.2071486,4.6301475,-13.601681,3.051031,-0.69564766,12.29036,2.531739,-8.892811,0.21537896,10.606781,8.011081,8.426388,-1.5585158,-2.576494,-10.21988,-1.0112563,-1
Dataset_final/Dataset/Training\Autre100852-0-0-0.wav,16503,2704.602225406745,4800.7218377438585,-53.126186,77.16265,-46.09267,43.101112,1.701256,16.883951,3.5691152,10.509599,-7.7264347,6.811157,-9.574155,10.693626,-7.4603434,13.497449,-9.225147,12.445283,-8.504826,9.315352,-7.2777023,10.615849,-1
